,name,n_athlets,date,n_class
0,IFSC Paraclimbing World Championship LEAD - Arco (ITA) 2011,9.0,2011-07-18,6.0
1,IFSC Paraclimbing World Championship - Paris (FRA) 2012,26.0,2012-09-16,6.0
2,European Paraclimbing Lead Championship - Chamonix (FRA) 2013,18.0,2013-07-13,6.0
3,Paraclimbing Cup Arco 2013 - Arco (ITA) 2013,20.0,2013-09-06,8.0
4,Paraclimbing Cup London (Lead) 2013 - London (GBR) 2013,10.0,2013-09-22,7.0
5,Paraclimbing Cup Imst (Lead) 2014 - Imst (AUT) 2014,18.0,2014-07-05,9.0
6,Paraclimbing Cup Arco 2014 - Arco (ITA) 2014,21.0,2014-08-29,11.0
7,IFSC Paraclimbing World Masters - Gijon (ESP) 2014,12.0,2014-09-14,7.0
8,IFSC Paraclimbing World Championship - Gijon (ESP) 2014,38.0,2014-09-14,7.0
9,Paraclimbing Cup Sheffield (Lead) 2014 - Sheffield (GBR) 2014,10.0,2014-10-05,7.0
10,Paraclimbing Cup (L) - Imst (AUT) 2015,27.0,2015-06-28,10.0
11,Paraclimbing Cup (L) - Chamonix (FRA) 2015,27.0,2015-07-11,6.0
12,Paraclimbing Cup (L) - Sheffield (GBR) 2015,24.0,2015-10-04,10.0
13,Paraclimbing Cup (L) - Campitello di Fassa (ITA) 2016,18.0,2016-06-25,4.0
14,Paraclimbing Master (L) - Imst (AUT) 2016,34.0,2016-07-17,14.0
15,IFSC Paraclimbing World Championships - Paris (FRA) 2016,70.0,2016-09-18,9.0
16,Paraclimbing Cup (L) - Sheffield (GBR) 2016,13.0,2016-09-25,7.0
17,Paraclimbing Master (L) - Imst (AUT) 2017,54.0,2017-07-09,16.0
18,Paraclimbing Cup (L) - Briançon (FRA) 2017,55.0,2017-07-26,8.0
19,Paraclimbing Cup (L) - Edinburgh (GBR) 2017,58.0,2017-09-24,9.0
20,Paraclimbing Cup (L) - Sheffield (GBR) 2017,43.0,2017-10-08,9.0
21,Paraclimbing Cup (L) - Briançon (FRA) 2018,56.0,2018-07-18,10.0
22,IFSC Paraclimbing World Championships - Innsbruck (AUT) 2018,127.0,2018-09-16,12.0
23,IFSC Paraclimbing World Championships - Briançon (FRA) 2019,145.0,2019-07-17,14.0
24,IFSC - Paraclimbing World Cup (L) - Innsbruck (AUT) 2021,75.0,2021-06-24,10.0
25,IFSC - Paraclimbing World Cup (L) - Briançon (FRA) 2021,70.0,2021-07-15,9.0
26,IFSC - Paraclimbing World Championships (L) - Moscow 2021,114.0,2021-09-17,13.0
27,IFSC - Paraclimbing World Cup (L) - Los Angeles (USA) 2021,56.0,2021-10-11,11.0
28,IFSC - Paraclimbing World Cup (L) - Salt Lake City (USA) 2022,87.0,2022-05-26,13.0
29,IFSC - Paraclimbing World Cup (L) - Innsbruck (AUT) 2022,115.0,2022-06-22,15.0
30,IFSC - Paraclimbing World Cup (L) - Villars (SUI) 2022,105.0,2022-07-09,15.0
31,IFSC Paraclimbing World Cup Salt Lake City 2023,98.0,2023-05-18,13.0
32,IFSC Paraclimbing World Cup Innsbruck 2023,131.0,2023-06-13,17.0
33,IFSC Paraclimbing World Cup Villars 2023,105.0,2023-06-24,14.0
34,IFSC Paraclimbing World Championships Bern 2023,169.0,2023-08-10,17.0
